,abstract,date,headline,id,paragraph,text,type
15,,2015-06-19,Time Is Muscle: Understanding Heart Attacks,55859c0e7988103c2de72f11,"In treating heart attacks, doctors often say that ""Time is muscle."" Quick diagnosis and treatment can save lives and reduce or prevent damage to the heart.","Time Is Muscle: Understanding Heart Attacks In treating heart attacks, doctors often say that ""Time is muscle."" Quick diagnosis and treatment can save lives and reduce or prevent damage to the heart.  ",Interactive Feature
16,,2015-06-02,Multiple Sclerosis Notes,556e0d6e79881067f08c6e50,Notes from the patient’s meeting with the M.S. doctor.,Multiple Sclerosis Notes Notes from the patient’s meeting with the M.S. doctor.  ,Interactive Feature
17,,2015-06-02,First Visit with Dr. Schepp,556e0d1f79881067f08c6e4f,Note from the patient’s first visit with Dr. Schepp.,First Visit with Dr. Schepp Note from the patient’s first visit with Dr. Schepp.  ,Interactive Feature
18,,2015-06-02,LP Prep,556e0c7079881067f08c6e4c,The patient’s LP preparation notes.,LP Prep The patient’s LP preparation notes.  ,Interactive Feature
19,,2015-06-02,First Note,556e0bbc79881067f08c6e4a,Notes from the patient’s first doctor’s visit.,First Note Notes from the patient’s first doctor’s visit.  ,Interactive Feature
20,,2015-06-02,MRI Report,556e0b0979881067f08c6e41,The patient’s MRI report.,MRI Report The patient’s MRI report.  ,Interactive Feature
21,,2015-05-25,Eating Kumquats With Grover,55647fe57988102842b84a84,"Grover visits The New York Times’ Melissa Clark and some young friends to talk about a new cookbook, “Sesame Street Let’s Cook!” What is Grover’s favorite food?","Eating Kumquats With Grover Grover visits The New York Times’ Melissa Clark and some young friends to talk about a new cookbook, “Sesame Street Let’s Cook!” What is Grover’s favorite food?  ",Video
22,,2015-05-18,"Cannabis Coffee, Vegan Weed Bonbons and Other Emerging Marijuana Edibles",555b8d5a7988103b80bc22de,"In states where pot has been legalized, demand for pot edibles has exploded, leading to a stunning assortment of mints, gummy candies and savory snacks infused with THC, the main psychoactive chemical in marijuana.","Cannabis Coffee, Vegan Weed Bonbons and Other Emerging Marijuana Edibles In states where pot has been legalized, demand for pot edibles has exploded, leading to a stunning assortment of mints, gummy candies and savory snacks infused with THC, the main psychoactive chemical in marijuana.  ",Interactive Feature
23,,2015-05-06,MRI and Neurologic Reports,554a2e0179881010f87bb04a,The patient’s test results.,MRI and Neurologic Reports The patient’s test results.  ,Interactive Feature
24,,2015-05-06,Lab Results,554a2d7c79881010f87bb049,The patient’s lab results.,Lab Results The patient’s lab results.  ,Interactive Feature
25,,2015-05-06,Dr. Drafta’s Notes,554a2cd879881010f87bb046,Notes from the patient’s visit.,Dr. Drafta’s Notes Notes from the patient’s visit.  ,Interactive Feature
26,,2015-05-05,Sierra Leone’s Hidden Ebola Outbreak,5548e29b7988106468df6251,"Sheri Fink, a New York Times reporter, recounts her discovery that Sierra Leone’s outbreak started much earlier than the official story suggests. An exclusive video by the PBS series “Frontline.”","Sierra Leone’s Hidden Ebola Outbreak Sheri Fink, a New York Times reporter, recounts her discovery that Sierra Leone’s outbreak started much earlier than the official story suggests. An exclusive video by the PBS series “Frontline.”  ",Video
27,,2015-05-04,The Workout with Rocco DiSpirito,554797ca7988106468df5ee6,Chef Rocco DiSpirito turns his Chinatown kitchen into a gym.,The Workout with Rocco DiSpirito Chef Rocco DiSpirito turns his Chinatown kitchen into a gym.  ,Video
28,,2015-04-29,"Same City, but Very Different Life Spans",55401da87988106d7d5aa367,"Researchers from Virginia Commonwealth University released life expectancy calculations for four cities, part of a broader series whose aim is to influence social policy.","Same City, but Very Different Life Spans Researchers from Virginia Commonwealth University released life expectancy calculations for four cities, part of a broader series whose aim is to influence social policy.  ",Interactive Feature
29,,2015-04-16,Go Hammerheads! Winning With Autism,552fc5167988107a4d3c40b0,"Children with disabilities often can’t participate in team sports. A new documentary called “Swim Team” chronicles the Jersey Hammerheads, a swim team for kids with autism.","Go Hammerheads! Winning With Autism Children with disabilities often can’t participate in team sports. A new documentary called “Swim Team” chronicles the Jersey Hammerheads, a swim team for kids with autism.  ",Video
30,,2015-04-01,Dr. Rankin’s Notes,551c1b69798810581d63ea1f,Dr. Rankin’s Notes,Dr. Rankin’s Notes Dr. Rankin’s Notes  ,Interactive Feature
31,,2015-04-01,Dr. Haller’s Notes,551c19f9798810581d63ea1b,Dr. Haller’s Notes,Dr. Haller’s Notes Dr. Haller’s Notes  ,Interactive Feature
32,,2015-04-01,Notes from Initial Doctor Visits,551c1962798810581d63ea17,The Patient’s First Visit,Notes from Initial Doctor Visits The Patient’s First Visit  ,Interactive Feature
33,,2015-04-01,Dr. Rankin’s Notes,551c176b798810581d63ea11,Dr. Rankin’s Notes,Dr. Rankin’s Notes Dr. Rankin’s Notes  ,Interactive Feature
34,,2015-04-01,Dr. Haller’s Notes,551c167b798810581d63ea0d,Dr. Haller’s Notes,Dr. Haller’s Notes Dr. Haller’s Notes  ,Interactive Feature
35,,2015-04-01,Patient’s First Visit,551c15f879881028d64d10d8,Notes from the first visit.,Patient’s First Visit Notes from the first visit.  ,Interactive Feature
36,,2015-03-31,How Lauren Weller Sidorowicz Wanted to Be Remembered,551affd679881028d64d0da2,Lauren Weller Sidorowicz’s wishes.,How Lauren Weller Sidorowicz Wanted to Be Remembered Lauren Weller Sidorowicz’s wishes.  ,Interactive Feature
37,,2015-03-31,Karly Koch’s “Voicing My Choices”,551aff4579881028d64d0da0,Karly Koch’s document.,Karly Koch’s “Voicing My Choices” Karly Koch’s document.  ,Interactive Feature
38,,2015-03-31,AshLeigh McHale’s Wishes,551afd7879881028d64d0d99,Ms. McHale’s document.,AshLeigh McHale’s Wishes Ms. McHale’s document.  ,Interactive Feature
39,,2015-03-31,AshLeigh2,551afc9f79881028d64d0d97,tk,AshLeigh2 tk  ,Interactive Feature
40,,2015-03-31,Recipes for Health: Passover,551af38379881028d64d0d77,Recipes for Passover.,Recipes for Health: Passover Recipes for Passover.  ,Interactive Feature
41,,2015-03-31,AshLeigh2,551aefdc79881028d64d0d6d,tk,AshLeigh2 tk  ,Interactive Feature
42,,2015-03-28,Before I Die,55174228798810109b86b742,"When doctors diagnosed Karly Koch with a rare genetic disorder, they also made a grim prognosis.","Before I Die When doctors diagnosed Karly Koch with a rare genetic disorder, they also made a grim prognosis.  ",Video
43,,2015-03-19,Karly Koch’s “Voicing My Choices”,550b0e6d7988100e8ac09b69,tk,Karly Koch’s “Voicing My Choices” tk  ,Interactive Feature
44,,2015-03-19,"My Choice, My Voice: Lauren",550b0e417988100e8ac09b67,tk,"My Choice, My Voice: Lauren tk  ",Interactive Feature
45,,2015-03-13,The Weekly Health Quiz,5502c25d798810512c210170,"In the news: healthy ‘cheese,’ happy conservatives and simple concussion tests. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: healthy ‘cheese,’ happy conservatives and simple concussion tests. Test your knowledge of this week’s health news.  ",Interactive Feature
46,,2015-03-06,The Weekly Health Quiz,54f8ab7479881007c4a6c190,"In the news: blood letting, attention deficit and sleep risks. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: blood letting, attention deficit and sleep risks. Test your knowledge of this week’s health news.  ",Interactive Feature
47,,2015-03-04,The Firefighter’s Workout,54f7e9a07988102d13724b6f,"A workout designed to help firefighters stay heart-healthy focuses on functional fitness exercises like stair climbing. Here’s how members of the New Brunswick, N.J. fire department stay fit.","The Firefighter’s Workout A workout designed to help firefighters stay heart-healthy focuses on functional fitness exercises like stair climbing. Here’s how members of the New Brunswick, N.J. fire department stay fit.  ",Video
48,,2015-02-27,The Weekly Health Quiz,54ef43b37988105c981b9b82,"In the news: annoying sounds, bariatric surgery and peanut allergies. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: annoying sounds, bariatric surgery and peanut allergies. Test your knowledge of this week’s health news.  ",Interactive Feature
49,,2015-02-23,Popcorn Munching,54eb504a7988102c57355cf7,Eating sounds are among the most common irritants for sufferers of misophonia.,Popcorn Munching Eating sounds are among the most common irritants for sufferers of misophonia.  ,Video
50,,2015-02-20,The Weekly Health Quiz,54e65ffd79881005b672928d,"In the news: food recommendations, varicose veins and persistent grief. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: food recommendations, varicose veins and persistent grief. Test your knowledge of this week’s health news.  ",Interactive Feature
51,,2015-02-13,The Weekly Health Quiz,54de2de67988100be84557ad,"In the news: Ebola, measles and weight and fertility. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: Ebola, measles and weight and fertility. Test your knowledge of this week’s health news.  ",Interactive Feature
52,,2015-02-06,The Weekly Health Quiz,54d3de8d7988104052672751,"In the news: running speed, supplements and depression. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: running speed, supplements and depression. Test your knowledge of this week’s health news.  ",Interactive Feature
53,,2015-02-02,Retailers Are Warned Over Herbal Supplements,54d0569079881045b454135f,"These cease-and-desist letters were sent to GNC, Target, Walgreens and Walmart by the New York State attorney general, who demanded that the retailers explain how they verify the ingredients in their herbal supplements.","Retailers Are Warned Over Herbal Supplements These cease-and-desist letters were sent to GNC, Target, Walgreens and Walmart by the New York State attorney general, who demanded that the retailers explain how they verify the ingredients in their herbal supplements.  ",Interactive Feature
54,,2015-01-30,The Weekly Health Quiz,54cb9c4579881068566a12e5,"In the news: timing exercise, sugary drinks and keeping the weight off. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: timing exercise, sugary drinks and keeping the weight off. Test your knowledge of this week’s health news.  ",Interactive Feature
55,,2015-01-26,A New Face for Violet,54c69389798810239ad252ca,"Violet Pietrok was born with a Tessier Cleft, a rare defect that left a fissure in her skull. Surgeons at Boston Children’s Hospital, aided by 3-D prints of her skull, hope to repair the damage.","A New Face for Violet Violet Pietrok was born with a Tessier Cleft, a rare defect that left a fissure in her skull. Surgeons at Boston Children’s Hospital, aided by 3-D prints of her skull, hope to repair the damage.  ",Video
56,,2015-01-23,The Weekly Health Quiz,54c2694879881004ea4103bf,"In the news: timing lunch, childbirth pain and Disneyland diseases. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: timing lunch, childbirth pain and Disneyland diseases. Test your knowledge of this week’s health news.  ",Interactive Feature
57,,2015-01-16,The Weekly Health Quiz,54b833347988101df2f2b294,"In the news: blueberries and blood pressure, indoor tanning and one child’s paralysis. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: blueberries and blood pressure, indoor tanning and one child’s paralysis. Test your knowledge of this week’s health news.  ",Interactive Feature
58,,2015-01-09,The Weekly Health Quiz,54aeea3479881022e94b36e0,"In the news: marriage, youth and exercise and alcohol poisoning. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: marriage, youth and exercise and alcohol poisoning. Test your knowledge of this week’s health news.  ",Interactive Feature
59,,2015-01-01,The Weekly Health Quiz,54a44d0c79881011bed28b65,"In the news: Ebola, holiday deaths and preventative genetic mutations. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: Ebola, holiday deaths and preventative genetic mutations. Test your knowledge of this week’s health news.  ",Interactive Feature
60,,2014-12-28,The Path of the Ebola Outbreak,54a178ff7988101f98e3efe7,"A look at how the disease spread far beyond Meliandou, Guinea in just a few months.","The Path of the Ebola Outbreak A look at how the disease spread far beyond Meliandou, Guinea in just a few months.  ",Video
61,,2014-12-28,"In Ebola Outbreak, Fear and Evasion",54a1796e7988101f98e3efeb,"As Ebola ravaged Guinea in March 2014, fearful communities hid the sick from health authorities. An exclusive video produced by the PBS series “Frontline” in association with The New York Times.","In Ebola Outbreak, Fear and Evasion As Ebola ravaged Guinea in March 2014, fearful communities hid the sick from health authorities. An exclusive video produced by the PBS series “Frontline” in association with The New York Times.  ",Video
62,,2014-12-28,Ebola’s Patient Zero,54a179067988101f98e3efe8,"In rural Guinea, a 1-year-old boy named Emile contracted a mysterious illness that spread terror and confusion. An exclusive video by the PBS series “Frontline” in association with The New York Times.","Ebola’s Patient Zero In rural Guinea, a 1-year-old boy named Emile contracted a mysterious illness that spread terror and confusion. An exclusive video by the PBS series “Frontline” in association with The New York Times.  ",Video
63,,2014-12-25,The Weekly Health Quiz,549afbf97988100306690dcd,"In the news: gift giving, ebola and male babies. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: gift giving, ebola and male babies. Test your knowledge of this week’s health news.  ",Interactive Feature
64,,2014-12-18,Ask Well | What Fish Is Safe to Eat?,5493180279881048d26b2f5c,A reader asks whether farmed fish is better than no fish.,Ask Well | What Fish Is Safe to Eat? A reader asks whether farmed fish is better than no fish.  ,Video
65,,2014-12-18,The Weekly Health Quiz,54934e9479881048d26b303d,"In the news: e-cigarettes, comfort foods and stroke. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: e-cigarettes, comfort foods and stroke. Test your knowledge of this week’s health news.  ",Interactive Feature
66,,2014-12-18,How the High Cost of Medical Care Is Affecting Americans,5492c20979881005eed9d4dc,The New York Times/CBS News poll found that affording medical care is a hardship for more Americans than a year ago.,How the High Cost of Medical Care Is Affecting Americans The New York Times/CBS News poll found that affording medical care is a hardship for more Americans than a year ago.  ,Interactive Feature
67,,2014-12-11,The Weekly Health Quiz,548a18d97988102fcc1300e6,"In the news: asthma, breast cancer and pet health. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: asthma, breast cancer and pet health. Test your knowledge of this week’s health news.  ",Interactive Feature
68,,2014-12-04,The Weekly Health Quiz,5480e5f37988103739e1727f,"In the news: the Mediterranean diet, calcium absorption and restroom germs. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: the Mediterranean diet, calcium absorption and restroom germs. Test your knowledge of this week’s health news.  ",Interactive Feature
69,,2014-11-30,Power Line Fears,547bb8d3798810629fb0c676,News media coverage in the 1980s and early 1990s fueled fears of a national cancer epidemic caused by power lines and generated a debate that still lingers today.,Power Line Fears News media coverage in the 1980s and early 1990s fueled fears of a national cancer epidemic caused by power lines and generated a debate that still lingers today.  ,Video
70,,2014-11-28,The Weekly Health Quiz,5478db737988105199668089,"In the news: Type 2 diabetes, calorie counts and heavy drinkers. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: Type 2 diabetes, calorie counts and heavy drinkers. Test your knowledge of this week’s health news.  ",Interactive Feature
71,,2014-11-20,The Weekly Health Quiz,546e4eda7988106ad45c6746,"In the news: cholesterol, milk and colon cancer screening. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: cholesterol, milk and colon cancer screening. Test your knowledge of this week’s health news.  ",Interactive Feature
72,,2014-11-14,Ask Well | Are Eggs Good for My Heart?,546653cd79881049c1903bf0,"Readers asked Well, are eggs heart-healthy after all? Watch this video before you eat.","Ask Well | Are Eggs Good for My Heart? Readers asked Well, are eggs heart-healthy after all? Watch this video before you eat.  ",Video
73,,2014-11-14,The Weekly Health Quiz,5466697d79881049c1903d39,"In the news: Ebola, sugar and breast cancer exams. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: Ebola, sugar and breast cancer exams. Test your knowledge of this week’s health news.  ",Interactive Feature
74,,2014-11-07,The Weekly Health Quiz,545cf88279881039320ed747,"In the news: Asthma, children’s coughs and colon cancer rates. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: Asthma, children’s coughs and colon cancer rates. Test your knowledge of this week’s health news.  ",Interactive Feature
75,,2014-11-04,How the Speed of Response Defined the Ebola Crisis,5457f73a798810533a8dda85,How did the timing of the large-scale intervention in the Ebola outbreak affect the number of reported cases today?,How the Speed of Response Defined the Ebola Crisis How did the timing of the large-scale intervention in the Ebola outbreak affect the number of reported cases today?  ,Interactive Feature
76,,2014-11-03,Bracing for the Falls of an Aging Nation,54562a8279881027affefea5,"Across the nation, places like The Sequoias are trying to reduce the number of falls among their increasingly elderly residents while satisfying people’s desire to live life as they choose.","Bracing for the Falls of an Aging Nation Across the nation, places like The Sequoias are trying to reduce the number of falls among their increasingly elderly residents while satisfying people’s desire to live life as they choose.  ",Interactive Feature
77,,2014-10-30,The Weekly Health Quiz,5452ba9e7988101196a586bf,"In the news: chocolate, acid reflux and marathon running. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: chocolate, acid reflux and marathon running. Test your knowledge of this week’s health news.  ",Interactive Feature
78,,2014-10-28,Children and the Risk of Ebola,54500d727988107738c7d50b,Donald G. McNeil Jr. discusses the risks and possible advantages children face in the fight against Ebola.,Children and the Risk of Ebola Donald G. McNeil Jr. discusses the risks and possible advantages children face in the fight against Ebola.  ,Video
79,,2014-10-28,Faces of Breast Cancer,544ee51f7988104a5763098c,"If you live with breast cancer, love someone with breast cancer or worry about your risk for breast cancer, you are part of a global community of women and men whose lives have been touched by the disease.","Faces of Breast Cancer If you live with breast cancer, love someone with breast cancer or worry about your risk for breast cancer, you are part of a global community of women and men whose lives have been touched by the disease.  ",Slideshow
80,,2014-10-23,The Weekly Health Quiz,544975aa79881005a1ef4260,"In the news: coffee consumption, robotic-assisted surgery, and high-intensity workouts. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: coffee consumption, robotic-assisted surgery, and high-intensity workouts. Test your knowledge of this week’s health news.  ",Interactive Feature
81,,2014-10-20,Children With Autism Visit the Dentist,54456ef3798810347c1a83e9,"Kidstown Dental in Katy, Texas uses the “D-Termined Program” to help children with autism learn how to behave at the dentist’s office.","Children With Autism Visit the Dentist Kidstown Dental in Katy, Texas uses the “D-Termined Program” to help children with autism learn how to behave at the dentist’s office.  ",Video
82,,2014-10-20,Submit Your Vegetarian Recipes and Stories,5446cfee79881004ee627aa0,This year’s “Vegetarian Thanksgiving” will be a selection of readers’ recipes as well as the personal stories behind them.,Submit Your Vegetarian Recipes and Stories This year’s “Vegetarian Thanksgiving” will be a selection of readers’ recipes as well as the personal stories behind them.  ,Interactive Feature
83,,2014-10-16,The Weekly Health Quiz,544141277988107a7b7f5e48,"In the news: Alzheimer’s disease, fecal pills and SIDS. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: Alzheimer’s disease, fecal pills and SIDS. Test your knowledge of this week’s health news.  ",Interactive Feature
84,,2014-10-09,The Weekly Health Quiz,5436f3e579881057847f9a9c,"In the news: allergic reactions, brain science and after-school exercise. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: allergic reactions, brain science and after-school exercise. Test your knowledge of this week’s health news.  ",Interactive Feature
85,,2014-10-03,Chef Marcus Samuelsson’s Workout,542eb8c77988102b329b6f04,"Marcus Samuelsson, a celebrity chef, demonstrates an exercise routine designed for people who work on their feet all day.","Chef Marcus Samuelsson’s Workout Marcus Samuelsson, a celebrity chef, demonstrates an exercise routine designed for people who work on their feet all day.  ",Video
86,,2014-10-03,This Week’s Health Quiz,542ee5bc7988105c45302ff1,"In the news: cardio workouts, celiac disease and fleas. Test your knowledge of this week’s health news.","This Week’s Health Quiz In the news: cardio workouts, celiac disease and fleas. Test your knowledge of this week’s health news.  ",Interactive Feature
87,,2014-10-02,Modern Technologies and the Ebola Fight,53eeea5b798810749b842b48,How some modern technologies — from airport screening to cellphones — may help in the fight to contain the Ebola virus.,Modern Technologies and the Ebola Fight How some modern technologies — from airport screening to cellphones — may help in the fight to contain the Ebola virus.  ,Video
88,,2014-09-30,C.D.C. Announces First U.S. Ebola Case,542b41357988100fb4a7579c,"Dr. Thomas R. Frieden, director of the Centers for Disease Control and Prevention, said the infected individual came to the United States from Liberia.","C.D.C. Announces First U.S. Ebola Case Dr. Thomas R. Frieden, director of the Centers for Disease Control and Prevention, said the infected individual came to the United States from Liberia.  ",Video
89,,2014-09-27,The Weekly Health Quiz,5425dac47988105b5331fd57,"In the news: Alzheimer’s disease, endurance and the relationship between teeth and exercise.","The Weekly Health Quiz In the news: Alzheimer’s disease, endurance and the relationship between teeth and exercise.  ",Interactive Feature
90,,2014-09-19,The Weekly Health Quiz,541b529e7988100a1c65fa2a,"In the news: fake sugar, ebola and longevity. Test your knowledge of this week’s developments.","The Weekly Health Quiz In the news: fake sugar, ebola and longevity. Test your knowledge of this week’s developments.  ",Interactive Feature
91,,2014-09-12,The Weekly Health Quiz,54130c9879881032180eb6b7,"In the news: airline seats, averting diabetes and sleeping for productivity.","The Weekly Health Quiz In the news: airline seats, averting diabetes and sleeping for productivity.  ",Interactive Feature
92,,2014-08-29,The Weekly Health Quiz,5409f1797988101836d963e0,"In the news: mold, antidepressants and new research on diet.","The Weekly Health Quiz In the news: mold, antidepressants and new research on diet.  ",Interactive Feature
93,,2014-08-29,The Weekly Health Quiz,5400c0d879881068a1947941,"In the news: mouse brains, growth hormones and all-star lineups. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: mouse brains, growth hormones and all-star lineups. Test your knowledge of this week’s health news.  ",Interactive Feature
94,,2014-08-22,The Weekly Health Quiz,53f63ecb798810309f42217a,"In the news: CrossFit, assisted suicide and working out with your dog. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: CrossFit, assisted suicide and working out with your dog. Test your knowledge of this week’s health news.  ",Interactive Feature
95,,2014-08-15,The Weekly Health Quiz,53ed2ea57988104a4d5454d8,"In the news: Tinnitus, yoga and cordone sanitaire. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: Tinnitus, yoga and cordone sanitaire. Test your knowledge of this week’s health news.  ",Interactive Feature
96,,2014-08-08,The Weekly Health Quiz,53e3feaa79881071316c3b51,"In the news: gender differences in marathon running, cheaper medical tests and Ebola. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: gender differences in marathon running, cheaper medical tests and Ebola. Test your knowledge of this week’s health news.  ",Interactive Feature
97,,2014-07-25,The Weekly Health Quiz,53d187f4798810789fc6be74,"In the news: Sleep apnea, erratic runners and careless lab procedures. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: Sleep apnea, erratic runners and careless lab procedures. Test your knowledge of this week’s health news.  ",Interactive Feature
98,,2014-07-24,The Workout Doctor,53d165aa798810789fc6bdb9,Dr. Jordan Metzl is a sports medicine physician who developed an extreme total-body workout routine called Ironstrength. He now teaches free exercise classes all around New York City.,The Workout Doctor Dr. Jordan Metzl is a sports medicine physician who developed an extreme total-body workout routine called Ironstrength. He now teaches free exercise classes all around New York City.  ,Video
99,,2014-07-18,The Weekly Health Quiz,53c933e77988102406602be5,"In the news: Pacemakers, pills for H.I.V. and World Cup fitness. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: Pacemakers, pills for H.I.V. and World Cup fitness. Test your knowledge of this week’s health news.  ",Interactive Feature
100,,2014-07-11,Health Official on Child’s H.I.V. Return,53bff83b7988105f774f49c0,"Dr. Anthony S. Fauci, National Institute of Allergy and Infectious Diseases director, discussed the case of a child who was thought to have been cured of H.I.V. and is now showing signs of infection.","Health Official on Child’s H.I.V. Return Dr. Anthony S. Fauci, National Institute of Allergy and Infectious Diseases director, discussed the case of a child who was thought to have been cured of H.I.V. and is now showing signs of infection.  ",Video
101,,2014-07-11,The Weekly Health Quiz,53c05c047988102b15a15fce,"In the news: smallpox, sedentary teenagers and binge drinking. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: smallpox, sedentary teenagers and binge drinking. Test your knowledge of this week’s health news.  ",Interactive Feature
102,,2014-07-04,The Weekly Health Quiz,53b5cca379881072daf8b131,"In the news: Bouncing babies, vaccines and Alzheimer’s. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: Bouncing babies, vaccines and Alzheimer’s. Test your knowledge of this week’s health news.  ",Interactive Feature
103,,2014-06-27,The Weekly Health Quiz,53adb56979881043482ea9a6,"In the news: Alice in Wonderland syndrome, a type of hospital unknown to most of the world and a study on the “cool” kids. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: Alice in Wonderland syndrome, a type of hospital unknown to most of the world and a study on the “cool” kids. Test your knowledge of this week’s health news.  ",Interactive Feature
104,,2014-06-23,"Good Night, Margaret",53a8a1a979881006ebaebb06,"When Margaret “Muffi” Lavigne and Chris Plum, both with muscular dystrophy, met at the Hospital for Special Care in New Britain, Conn., their lives took an unexpected turn.","Good Night, Margaret When Margaret “Muffi” Lavigne and Chris Plum, both with muscular dystrophy, met at the Hospital for Special Care in New Britain, Conn., their lives took an unexpected turn.  ",Video
105,,2014-06-20,The Weekly Health Quiz,53a34cfb7988106a6836c374,"In the news: postpartum depression, celiac disease and mammograms. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: postpartum depression, celiac disease and mammograms. Test your knowledge of this week’s health news.  ",Interactive Feature
